"Coup_lag_max" "Coupling_abs" "Lag" "Fitofisionomia" "root_depth"
"IS1" 0.18546365914787 0.18546365914787 2 "savanna" 3.96734569314111
"IS2" 0.193265993265993 0.193265993265993 4 "savanna" 4.53192950331885
"IS5" 0.235329703569268 0.235329703569268 2 "savanna" 4.50141145952546
"ES1" 0.163636363636364 0.163636363636364 4 "savanna" 4.18097199969486
"ES3" -0.210169491525424 0.210169491525424 0 "savanna" 3.8910505836576
"ES4" 0.171717171717172 0.171717171717172 4 "savanna" 4.92866407263296
"BS1" 0.177253478523896 0.177253478523896 3 "savanna" 2.45670252536814
"BS2" 0.185185185185185 0.185185185185185 3 "savanna" 6.89707789730681
"MS1" 0.223376623376623 0.223376623376623 3 "savanna" 3.95208667124439
"MS2" 0.201298701298701 0.201298701298701 3 "savanna" 3.57061112382701
"IC3" -0.319696084161309 0.319696084161309 1 "riparian for" 2.15152208743422
"EC2" -0.289473684210526 0.289473684210526 1 "riparian for" 3.57061112382701
"EC3" -0.223230490018149 0.223230490018149 1 "riparian for" 3.57061112382701
"BC1" -0.24937343358396 0.24937343358396 1 "riparian for" 0.091554131380235
"BC2" -0.215538847117794 0.215538847117794 1 "riparian for" 0.091554131380235
"BQ8" -0.277615429573349 0.277615429573349 1 "riparian for" 0.488288700694341
"RC1" -0.20864991233197 0.20864991233197 0 "riparian for" 3.34172579537653
"RC2" -0.28361581920904 0.28361581920904 0 "riparian for" 3.34172579537653
"RC3" -0.265536723163842 0.265536723163842 0 "riparian for" 3.34172579537653
"MC1" -0.300993571011105 0.300993571011105 0 "riparian for" 6.88181887541009
"SR1" 0.441016333938294 0.441016333938294 2 "dry for" 4.39459830624861
"SD1" 0.433756805807623 0.433756805807623 1 "dry for" 0.671396963454697
"SD2" 0.536600120992136 0.536600120992136 1 "dry for" 8.7739375906005
"SD3" 0.47610405323654 0.47610405323654 1 "dry for" 8.7739375906005
"SS1" 0.209921355111918 0.209921355111918 2 "dry for" 5.05073624780653
"SS2" 0.161524500907441 0.161524500907441 2 "dry for" 4.62348363469903
"SS3" 0.214761040532365 0.214761040532365 2 "dry for" 5.05073624780653
"SG1" 0.5406195207481 0.5406195207481 1 "dry for" 10.8949416342413
"SP1" 0.336963097398669 0.336963097398669 1 "dry for" 0.671396963454697
"SP2" 0.369959088252484 0.369959088252484 1 "dry for" 9.15541313801788
