"2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017"
"1" 204 204 204 204 204 204 204 204
"2" 204 204 204 204 204 204 204 204
"3" 212 212 212 212 212 212 212 212
"4" 204 204 204 204 204 204 204 204
"5" 204 204 204 204 204 204 204 204
"6" 204 204 204 204 204 204 204 204
"7" 204 204 204 204 204 204 204 204
"8" 204 204 204 204 204 204 204 204
"9" 204 204 204 204 204 204 204 204
"10" 204 204 204 204 204 204 204 204
"11" 203 203 203 203 203 203 203 203
"12" 203 203 203 203 203 203 203 203
"13" 203 203 203 203 203 203 203 203
"14" 203 203 203 203 203 203 203 203
"15" 203 203 203 203 203 203 203 203
"16" 203 203 203 203 203 203 203 203
"17" 204 204 204 204 204 204 204 204
"18" 203 203 203 203 203 203 203 203
"19" 203 203 203 203 203 203 203 203
"20" 203 203 203 203 203 203 203 203
"21" 204 204 204 204 204 204 204 204
"22" 204 204 204 204 204 204 204 204
"23" 204 204 204 204 204 204 204 204
"24" 204 204 204 204 204 204 204 204
"25" 204 203 203 203 203 203 203 203
"26" 203 203 203 203 203 203 203 203
"27" 303 303 303 303 303 303 303 303
"28" 204 204 204 204 204 204 204 204
"29" 204 204 204 204 204 204 204 204
"30" 204 204 204 204 204 204 204 204
"31" 204 204 204 204 204 204 204 204
"32" 204 204 204 204 204 204 204 204
"33" 204 204 204 204 204 204 204 204
"34" 204 204 204 204 204 204 204 204
"35" 204 204 204 204 204 204 204 204
"36" 204 204 204 204 204 204 204 204
"37" 204 204 204 204 204 204 204 204
"38" 204 204 204 204 204 204 204 204
"39" 204 204 204 204 204 204 204 204
"40" 204 204 204 204 204 204 204 204
"41" 115 115 115 115 115 115 115 115
"42" 304 304 304 304 304 304 304 304
"43" 304 304 304 304 304 304 304 304
"44" 204 204 204 204 204 204 204 204
"45" 204 204 204 204 204 204 204 204
"46" 204 204 204 204 204 204 204 204
"47" 204 204 204 204 204 204 204 204
"48" 204 204 204 204 204 204 204 204
"49" 204 204 204 204 204 204 204 204
"50" 204 204 204 204 204 204 204 204
