"1985_2018" "2013_2020" "2018_2020"
"1" 5 2 0
"2" 6 2 0
"3" 3 0 0
"4" 7 1 0
"5" 7 0 0
"6" 5 0 0
"7" 6 0 0
"8" 4 0 0
"9" 10 2 0
"10" 9 1 0
"11" 1 0 0
"12" 1 0 0
"13" 1 0 0
"14" 3 0 0
"15" 3 0 0
"16" 8 0 0
"17" 3 0 0
"18" 3 0 0
"19" 3 0 0
"20" 3 0 0
"21" 2 0 0
"22" 0 0 0
"23" 0 0 0
"24" 0 0 0
"25" 0 0 0
"26" 0 0 0
"27" 0 0 0
"28" 0 0 0
"29" 0 0 0
"30" 0 0 0
"31" 3 0 0
"32" 3 0 0
"33" 3 0 0
"34" 3 0 0
"35" 6 0 0
"36" 6 0 0
"37" 7 0 0
"38" 7 0 0
"39" 8 0 0
"40" 9 0 0
"41" 4 0 0
"42" 5 0 0
"43" 5 0 0
"44" 5 0 0
"45" 5 0 0
"46" 8 0 0
"47" 8 0 0
"48" 7 0 0
"49" 7 0 0
"50" 7 0 0
