"." "Vegetation_type"
"1" 28 "savanna"
"2" 29 "savanna"
"3" 1 "savanna"
"4" 9 "savanna"
"5" 28 "savanna"
"6" 44 "savanna"
"7" 0 "savanna"
"8" 28 "savanna"
"9" 32 "savanna"
"10" 29 "savanna"
"11" 70 "gallery_for"
"12" 47 "gallery_for"
"13" 44 "gallery_for"
"14" 74 "gallery_for"
"15" 59 "gallery_for"
"16" 74 "gallery_for"
"17" 44 "gallery_for"
"18" 51 "gallery_for"
"19" 49 "gallery_for"
"20" 66 "gallery_for"
"21" NA "dry_for"
"22" 55 "dry_for"
"23" 51 "dry_for"
"24" 50 "dry_for"
"25" 84 "dry_for"
"26" 98 "dry_for"
"27" 75 "dry_for"
"28" 51 "dry_for"
"29" 55 "dry_for"
"30" 52 "dry_for"
"31" 0 "grassland"
"32" 0 "grassland"
"33" 0 "grassland"
"34" 0 "grassland"
"35" 0 "grassland"
"36" 0 "grassland"
"37" 0 "grassland"
"38" 0 "grassland"
"39" 1 "grassland"
"40" 1 "grassland"
"41" 0 "grassland"
"42" 0 "grassland"
"43" 0 "grassland"
"44" 0 "grassland"
"45" 3 "grassland"
"46" 0 "grassland"
"47" 0 "grassland"
"48" 2 "grassland"
"49" 0 "grassland"
"50" 0 "grassland"
