"bark" "Alt" "CAP"
"1" 1.5 10 630.333152115452
"2" 1.35 5 267.698614280568
"3" 0.8 4 17.9049310978382
"4" 3.75 5 232.047907027983
"5" 1 2.2 33.6811648318224
"6" 1 1.9 9.62887405705967
"7" 0.75 3.8 68.6156748404934
"8" 1 11 378.868342030257
"9" 1 3.9 218.042272035897
"10" 2.25 11 1650.11844997677
"11" 1.05 3.5 36.7846862221143
"12" 2.15 5 277.725375695357
"13" 0.95 3.8 20.3718327157626
"14" 1.05 1.9 17.5866212116544
"15" 1.2 3.2 33.4424324171845
"16" 0.95 3.4 35.8098621956765
"17" 0.9 2.5 19.1184875389139
"18" 0.8 2.5 11.4591559026165
"19" 0.9 2.3 23.5549315776005
"20" 1.05 2.2 22.9183118052329
"21" 1.4 3.5 43.9466586612496
"22" 1.6 5 76.4739501556557
"23" 0.85 1.85 11.8570432603462
"24" 1 3 31.8309886183791
"25" 0.6 2.2 15.3783463762544
"26" 1.15 3.3 33.7408479354818
"27" 1.05 5 28.7274672280871
"28" 2.05 3.15 423.551092303306
"29" 1.7 4.5 127.323954473516
"30" 0.85 2.3 17.5866212116544
"31" 0.95 2.4 21.4063398458599
"32" 0.95 2.8 13.4485926912652
"33" 1.05 2.1 25.783100780887
"34" 0.65 1.7 14.4035223498165
"35" 1.1 2.8 10.6036980834975
"36" 1.75 3.4 205.091038541794
"37" 1 2.9 31.4529956285358
"38" 0.75 2.1 7.95774715459477
"39" 1.05 2.35 13.4485926912652
"40" 0.95 2.9 20.3917270836491
"41" 0.95 3.5 28.7274672280871
"42" 1.1 2.1 37.0234186367522
"43" 1.05 3.4 31.8309886183791
"44" 1.05 1.9 13.8663744168814
"45" 0.9 3.7 18.4818677665463
"46" 0.75 2.6 15.9552830449625
"47" 1.1 2.7 11.4591559026165
"48" 1.15 4.4 36.7846862221143
"49" 1.05 4.3 25.783100780887
"50" 0.75 2.8 15.9154943091895
"51" 0.75 5 91.8324021640236
"52" 1.4 7.5 223.533117572567
"53" 0.8 4.2 17.9049310978382
"54" 0.45 3.4 27.0762346935087
"55" 0.75 4.05 13.4485926912652
"56" 0.65 4.15 14.502994189249
"57" 0.85 4.7 26.8971853825303
"58" 1.05 5 127.323954473516
"59" 1.65 5 315.842984565866
"60" 1.4 3 45.8366236104659
"61" 0.75 4.1 35.0936649517629
"62" 0.85 5.5 40.286094970136
"63" 1 4.55 48.7809900576659
"64" 1.4 2.4 48.5422576430281
"65" 1.1 4.2 53.0980678890336
"66" 0.8 2.1 12.4339799290543
"67" 0.7 2.6 22.9978892767789
"68" 0.6 1.8 10.5241206119516
"69" 1.3 2.4 27.8274460249024
"70" NA 2.4 31.5134745069107
"71" 1.15 5.5 106.017086467089
"72" 1 6.5 111.905819361489
"73" 1.2 7.5 460.05725737501
"74" 1 2.85 24.8194176004656
"75" 0.9 2.05 30.5394462551883
"76" 0.85 2.2 34.1180451506096
"77" 0.95 4.5 86.659866513537
"78" NA 2.1 14.502994189249
"79" NA 2.5 15.5971844230057
"80" 0.95 3.5 31.8309886183791
"81" 0.35 2.15 16.0746492522814
"82" 0.6 4 70.1077524319799
"83" 0.7 2.95 50.5316944316768
"84" 1.2 2.6 28.7274672280871
"85" 0.6 2.15 24.9077485938816
"86" 0.85 4 22.9978892767789
"87" 0.8 2.5 29.3640870004547
"88" 0.9 1.85 21.4063398458599
"89" 0.8 4 62.388737692023
"90" 0.6 3.6 74.484513367007
"91" 1.4 6 97.4824026437859
"92" 0.45 1.93 13.4485926912652
"93" 1.05 6 258.547205052784
"94" 0.95 5 43.9466586612496
"95" 0.65 2.5 27.9515868805141
"96" 0.45 7 91.9915571071155
"97" 0.4 3 49.7359197162173
"98" 1 4.5 198.943678864869
"99" 0.35 2.8 8.77341623794073
"100" 0.35 3.2 13.4485926912652
"101" 1.5 3.1 22.9978892767789
"102" 2.2 7.5 286.478897565412
"103" 0.9 4.5 161.144379880544
"104" 0.8 7.5 81.4873308630504
"105" 1.9 2.3 107.668319001667
"106" 0.95 6.5 100.287508515781
"107" 1.05 1.8 9.62887405705967
"108" 2.75 8.5 748.744429775822
"109" 0.6 4.3 25.783100780887
"110" 1.05 3.4 25.783100780887
"111" 0.45 2.8 7.95774715459477
"112" 0.55 3.5 20.3718327157626
"113" 0.85 3.5 14.502994189249
"114" 0.55 3.5 16.7311633925355
"115" 2.15 4.5 107.270431643937
"116" 1.45 7 147.138744888457
"117" 1.1 8 346.639466054148
"118" 1.1 7 86.659866513537
"119" 0.95 4 65.6713083932933
"120" 1.9 4 134.903708638268
"121" 1.15 5 117.615502944911
"122" 0.9 3.7 90.5790569871749
"123" 1 2.16 61.9510615985203
"124" 1.3 3.1 46.2193912486019
"125" NA 1.96 33.4766507299493
"126" 1.15 2 25.0040373344522
"127" 1.35 1.73 7.95774715459477
"128" 1.35 3 27.8887206779928
"129" 1.85 2 80.3684716131144
"130" 2.15 7 1243.89535210259
"131" 1.15 1.5 28.4290517097898
"132" 0.7 2.35 30.0206011407088
"133" 0.9 2.14 39.8086301408603
"134" 0.9 3.3 40.286094970136
"135" 1.05 2.7 39.5698977262225
"136" 1.4 2.1 32.3283478155412
"137" 1.15 3 25.783100780887
"138" 1.05 1.8 19.4169030572112
"139" 1.3 4.5 45.8366236104659
"140" 0.75 2.8 15.5971844230057
"141" 0.9 1.9 13.4485926912652
"142" 0.8 1.8 13.4485926912652
"143" 1.4 3.2 70.3464848466178
"144" 1.25 4 36.7846862221143
"145" 1.35 3.1 42.0964824478063
"146" 0.9 2.9 93.8417333205588
"147" 0.55 2.6 12.4339799290543
"148" 1 8 86.659866513537
"149" 0.9 3.7 31.8309886183791
"150" 0.6 2.9 11.4591559026165
"151" 1.05 2.1 82.7605704077856
"152" 0.8 3.3 27.2353896366006
"153" 0.9 1.8 20.3917270836491
"154" 1 2.9 15.5971844230057
"155" 2.15 6 357.223269769759
"156" 1.05 4.5 62.388737692023
"157" 0.55 1.3 8.77341623794073
"158" 0.85 1.95 7.95774715459477
"159" 0.9 2.95 25.166375376406
"160" 0.8 3.8 19.1184875389139
"161" 0.9 4.2 49.7359197162173
"162" 0.9 6.5 81.4873308630504
"163" 1.05 5.5 42.8325740596063
"164" 1.15 3.4 28.7274672280871
"165" 1.4 4 42.0964824478063
"166" 0.85 1.9 15.5971844230057
"167" 1.9 6.5 438.889649943788
"168" 1.35 5.5 94.7170855075642
"169" 1.45 6.5 286.478897565412
"170" 1.1 7 147.138744888457
"171" 1 5 76.4739501556557
"172" 0.75 2.8 15.5971844230057
"173" 0.8 5.5 89.8628597432614
"174" 1 1.83 9.62887405705967
"175" 1.7 2.4 74.7431401495314
"176" 1.05 2.6 63.0651462001635
"177" 0.65 3.6 13.4485926912652
"178" 1.2 3.3 36.7846862221143
"179" 1.15 2.4 24.3706006609465
"180" 1.45 2.1 21.6649666283843
"181" 0.8 2.65 7.95774715459477
"182" 0.7 2.5 15.2191914331625
"183" 1.05 2.8 35.8496509314494
"184" 1.7 8 305.895800622623
"185" 1 3.4 24.3706006609465
"186" 1.75 2.4 27.2353896366006
"187" 1.3 2.8 24.9077485938816
"188" 1 4.5 76.0959571658125
"189" 0.8 4.5 121.236277900251
"190" 1.15 4.5 82.7804647756721
"191" 1 4.5 93.3443741233966
"192" 1 1.7 9.62887405705967
"193" 1.55 2.1 42.2755317587847
"194" 0.55 2.2 11.4591559026165
"195" 0.65 2.9 22.9978892767789
"196" 0.6 3 9.62887405705967
"197" 1.05 2.3 11.4591559026165
"198" 1.3 8 215.177483060242
"199" 1.25 5.5 100.34719161944
"200" 1.1 2 20.1529946690112
"201" 0.95 7 183.346494441863
"202" 0.9 3.7 36.2276439212927
"203" 0.95 2.8 13.4485926912652
"204" 1 2.5 13.4485926912652
"205" 1.25 4.5 117.953707198981
"206" 1.5 2.1 35.0936649517629
"207" 1.05 2.55 44.2649685474334
"208" 1.1 2.1 58.588913425704
"209" 2.15 12 718.186680702178
"210" 2.15 16 305.895800622623
"211" 1.35 15 168.385929791225
"212" 0.8 18 147.138744888457
"213" 1.6 24 703.146538579994
"214" 1.05 13 258.547205052784
"215" 1 10 111.905819361489
"216" 1.2 13 223.533117572567
"217" 1.2 15 305.895800622623
"218" 1.15 16 198.943678864869
"219" 2.3 16 588.554979553829
"220" 1.85 15 191.06550918182
"221" 2.8 18 378.868342030257
"222" 0.7 10 94.7170855075642
"223" 1.7 10 143.736807979868
"224" 1.65 18 378.868342030257
